date,holiday,sinhour,coshour,sindow,cosdow,sindate,cosdate,T_ctrl,T_stp_cool,T_stp_heat,Humidity,compCool1,compCool2,fan,Thermostat_Motion,T_out,RH_out,Thermostat_Temperature
8/7/17,0,-0.258819045,-0.965925826,0,1,0.988468324,0.151427778,72,78,69,73,0,0,0,0,84,50,67
8/7/17,0,-0.258819045,-0.965925826,0,1,0.988468324,0.151427778,72,78,69,73,0,0,0,0,84,50,67
8/7/17,0,-0.258819045,-0.965925826,0,1,0.988468324,0.151427778,72,78,69,74,0,0,0,0,84,50,68
8/7/17,0,-0.258819045,-0.965925826,0,1,0.988468324,0.151427778,72,78,69,74,0,0,0,0,84,50,68
8/7/17,0,-0.258819045,-0.965925826,0,1,0.988468324,0.151427778,72,78,69,74,0,0,0,0,84,50,68
8/7/17,0,-0.258819045,-0.965925826,0,1,0.988468324,0.151427778,72,78,69,73,0,0,0,0,87,46,68
8/7/17,0,-0.258819045,-0.965925826,0,1,0.988468324,0.151427778,72,78,69,74,0,0,0,0,87,46,68
8/7/17,0,-0.258819045,-0.965925826,0,1,0.988468324,0.151427778,72,78,69,75,0,0,0,0,87,46,68
8/7/17,0,-0.258819045,-0.965925826,0,1,0.988468324,0.151427778,72,78,69,75,0,0,0,0,87,46,68
8/7/17,0,-0.258819045,-0.965925826,0,1,0.988468324,0.151427778,72,78,69,74,0,0,0,0,87,46,68
8/7/17,0,-0.258819045,-0.965925826,0,1,0.988468324,0.151427778,73,78,69,73,0,0,0,0,87,46,68
8/7/17,0,-0.5,-0.866025404,0,1,0.988468324,0.151427778,73,81,66,74,0,0,0,0,88,46,68
8/7/17,0,-0.5,-0.866025404,0,1,0.988468324,0.151427778,73,85,64,75,0,0,0,0,88,46,68
8/7/17,0,-0.5,-0.866025404,0,1,0.988468324,0.151427778,73,85,64,75,0,0,0,0,88,46,68
8/7/17,0,-0.5,-0.866025404,0,1,0.988468324,0.151427778,73,85,64,75,0,0,0,0,88,46,68
8/7/17,0,-0.5,-0.866025404,0,1,0.988468324,0.151427778,73,85,64,74,0,0,0,0,88,46,69
8/7/17,0,-0.5,-0.866025404,0,1,0.988468324,0.151427778,73,85,64,74,0,0,0,0,88,46,69
8/7/17,0,-0.5,-0.866025404,0,1,0.988468324,0.151427778,74,85,64,74,0,0,0,0,89,41,69
8/7/17,0,-0.5,-0.866025404,0,1,0.988468324,0.151427778,75,85,64,74,0,0,0,0,89,41,69
8/7/17,0,-0.5,-0.866025404,0,1,0.988468324,0.151427778,75,85,64,73,0,0,0,0,89,41,69
8/7/17,0,-0.5,-0.866025404,0,1,0.988468324,0.151427778,75,85,64,73,0,0,0,0,89,41,69
8/7/17,0,-0.5,-0.866025404,0,1,0.988468324,0.151427778,75,85,64,73,0,0,0,0,89,41,69
8/7/17,0,-0.5,-0.866025404,0,1,0.988468324,0.151427778,75,85,64,74,0,0,0,0,89,41,69
8/7/17,0,-0.707106781,-0.707106781,0,1,0.988468324,0.151427778,75,85,64,73,0,0,0,0,90,41,69
8/7/17,0,-0.707106781,-0.707106781,0,1,0.988468324,0.151427778,76,85,64,74,0,0,0,0,90,41,69
8/7/17,0,-0.707106781,-0.707106781,0,1,0.988468324,0.151427778,75,85,64,73,0,0,0,0,90,41,70
8/7/17,0,-0.707106781,-0.707106781,0,1,0.988468324,0.151427778,75,85,64,73,0,0,0,0,90,41,70
8/7/17,0,-0.707106781,-0.707106781,0,1,0.988468324,0.151427778,76,85,64,73,0,0,0,0,90,41,70
8/7/17,0,-0.707106781,-0.707106781,0,1,0.988468324,0.151427778,76,85,64,73,0,0,0,0,90,41,70
